,safegraph_place_id,location_name,latitude,longitude,city,region,postal_code,stateFIPS,countyFIPS,countyName,poi_cbg,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,base,size
11539,sg:fa087790c7534a2e8f8ea300ef8c35f1,Anza Baptist Church,33.845375,-118.361878,Torrance,CA,90503,06,06037,Los Angeles County,060376506023,23.0,15.0,24.0,14.0,6.0,13.0,13.0,19.5,1.0
11540,sg:fa18b4ce16f94d28841ed638a802d3e6,Saint Mary's Roman Catholic Church,36.335547,-119.290548,Visalia,CA,93291,06,06107,Tulare County,061070011002,11.0,13.0,11.0,5.0,2.0,4.0,6.0,12.0,1.0
11541,sg:fa1cb692765b43e284ca4de626b83f90,Blesses Hope Assembly of God,33.822919,-118.21516100000001,Long Beach,CA,90810,06,06037,Los Angeles County,060375723011,8.0,8.0,7.0,2.0,2.0,1.0,0.0,7.5,0.0
11542,sg:fa25f2f87a2f4eb095242a627acbfd4a,Proto Cathedral of St Mary,34.167491999999996,-118.466573,Sherman Oaks,CA,91411,06,06037,Los Angeles County,060371288011,154.0,162.0,133.0,111.0,78.0,65.0,71.0,147.5,5.0
11543,sg:fa2a6d5b11214535b039010fade89e23,Young Life Capernaum,37.332088,-121.91371799999999,San Jose,CA,95126,06,06085,Santa Clara County,060855006002,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0
11544,sg:fa307f1c62be4615bf003d69ad4091a6,Lighthouse Ministries,38.155097999999995,-121.691782,Rio Vista,CA,94571,06,06095,Solano County,060952535003,35.0,24.0,22.0,14.0,14.0,19.0,14.0,23.0,2.0
11545,sg:fa32d367d1fb4380b76ee5ab2e1f489e,The Church of Jesus Christ of Latter day Saints,40.73167,-122.947071,Hayfork,CA,96041,06,06105,Trinity County,061050001023,6.0,5.0,4.0,5.0,4.0,2.0,0.0,4.5,0.0
11546,sg:fa32f8de2aee4950b3b67e5a2f45fe6b,Assemblies of God Calvary Community Church Norwalk,33.897857,-118.082182,Norwalk,CA,90650,06,06037,Los Angeles County,060375527005,45.0,37.0,34.0,34.0,6.0,12.0,4.0,35.5,3.0
11547,sg:fa356dfb502e448a8768d27cdcbd098c,St Peter Armenian Apostolic Church,34.201543,-118.508803,Van Nuys,CA,91406,06,06037,Los Angeles County,060371319002,220.0,236.0,230.0,77.0,18.0,18.0,100.0,233.0,5.0
11548,sg:fa3f6af05b23404d9a5d0da087a3ae82,Baptist Church of Redondo Hills,33.861705,-118.369597,Redondo Beach,CA,90278,06,06037,Los Angeles County,060376206024,30.0,23.0,29.0,19.0,14.0,14.0,18.0,26.0,2.0
