,safegraph_place_id,location_name,latitude,longitude,city,region,postal_code,stateFIPS,countyFIPS,countyName,poi_cbg
16051,sg:67243c1ad22244b2b08bcf32fbb7ca0a,Grace Fellowship of Dixon,38.452632,-121.82835,Dixon,CA,95620,06,06095,Solano County,060952534022
16052,sg:7621be908a234addbc4191061140a5f5,Cmf Ministries,33.89777,-118.045064,Norwalk,CA,90650,06,06037,Los Angeles County,060375524001
16053,sg:9436e3a13f0a44c88f80840e04f5b26e,San Diego Japanese Southern Baptist Church,32.662502,-117.09226399999999,National City,CA,91950,06,06073,San Diego County,060730116021
16054,sg:95551d5d3d9c4723a826da36411e4996,First Baptist Church of Vacaville,38.33801,-121.985083,Vacaville,CA,95687,06,06095,Solano County,060952531072
16055,sg:aff978deca3142058033d80e739ece6d,Tensho Kotai Jingu Kyo Northern Cal Division,37.570172,-122.311299,San Mateo,CA,94401,06,06081,San Mateo County,060816077011
16056,sg:d5391a81b1a848069ee3654d9c4b4755,Faith Gospel Center,38.110572,-122.254442,Vallejo,CA,94590,06,06095,Solano County,060952515002
16057,sg:fa9defcebcdd4ee9abe0ec66c3fc4824,The Church of Jesus Christ of Latter day Saints,38.605067,-121.29035800000001,Rancho Cordova,CA,95670,06,06067,Sacramento County,060670089051
16058,sg:fe5a764a49b847a2bd1fdab1ffa15981,Greater Circle Mission,33.939033,-118.30003700000002,Los Angeles,CA,90044,06,06037,Los Angeles County,060376003032
16059,sg:08560d0527f6456a930d106a70df074a,First Congregational Church,36.068428999999995,-119.01293999999999,Porterville,CA,93257,06,06107,Tulare County,061070038023
16060,sg:40d32560c2794430a2e692dfdeecdef0,Iglesia Betesda,37.38323,-121.870391,San Jose,CA,95131,06,06085,Santa Clara County,060855043162
16061,sg:c1ddf3c12b1e435e812dac4ce98089b0,St James Episcopal Church,38.891579,-121.298927,Lincoln,CA,95648,06,06061,Placer County,060610214032
16062,sg:fe8434f4d2954bf7946c122e6e8ecf0b,Our Lady of the Rosary Catholic Church,32.722834000000006,-117.16680500000001,San Diego,CA,92101,06,06073,San Diego County,060730058001
16063,sg:00eeb479012748b4900b9391beb6563b,Universalist Unitarian Church,33.982423,-117.371358,Riverside,CA,92501,06,06065,Riverside County,060650303001
16064,sg:078b0a9e88044300b7dd97de6f4577e2,Light of the World Church,33.035859,-117.275977,Encinitas,CA,92024,06,06073,San Diego County,060730174041
16065,sg:1cb8b440bee247d09ad70714d7e4adfa,Serbian Orthodox Church St John Baptist,37.779692,-122.44163799999998,San Francisco,CA,94115,06,06075,San Francisco County,060750157001
16066,sg:35fae41e57794a69a4afc214dd6b43bd,Faith Assembly of God,36.336665,-119.292018,Visalia,CA,93291,06,06107,Tulare County,061070011001
